x-box,4.0236,2.4934,3.2231,4.2015,2.8692,3.9804,1.5415,6.6198,3.0234,4.0357,3.9055,5.2722,2.266,6.2392
y-box,7.0355,5.1439,7.3123,7.1184,5.8924,8.2152,1.3995,9.9735,5.9199,7.3095,7.3784,8.7739,2.5964,10.7475
width,5.1219,4.0495,4.7672,4.9175,3.4971,4.8924,2.1473,7.6009,4.6085,4.6146,4.9751,7.1318,3.0605,6.9747
high,5.3724,3.6212,5.4374,5.1523,4.8663,6.4033,1.5332,6.9042,4.7496,6.1176,5.8451,7.4805,2.6975,7.0138
onpix,3.5059,2.1035,2.6237,2.6571,1.6337,3.1753,0.8822,4.7427,2.0092,2.9063,3.9024,7.6595,1.8305,4.6159
x-bar,6.8976,7.5955,9.6984,4.3205,2.1715,5.9782,6.8618,5.3625,6.9215,7.2634,6.9387,7.5176,6.8664,8.4798
y-bar,7.5004,7.0207,3.3094,10.8791,2.3227,7.088,7.6752,8.785,10.9775,6.3482,7.3507,7.2867,7.1941,6.6017
x2bar,4.6286,2.196,3.2202,3.9399,4.7064,5.1979,5.4486,3.5605,2.3456,13.1875,6.4509,4.7354,5.246,3.3142
y2bar,5.1787,6.3955,3.0621,5.3743,6.6105,9.0647,3.0627,4.8733,3.9124,2.2872,4.9546,4.1169,6.3577,5.9655
xybar, 8.282,10.797,9.0815,11.2201,1.1977,7.629,7.5574,8.698,6.9249,6.4226,6.9953,6.9784,6.9302,10.5662
x2ybr, 6.454,5.402,2.2182,8.7812,1.0029,6.2852,7.1133,8.9269,11.0334,8.4955,5.9633,6.253,6.1689,4.4687
xy2br, 7.929,7.7591,8.8458,5.4786,6.064,10.532,7.7832,8.2705,8.0125,8.0446,7.9384,8.0356,8.7061,7.219
x-ege,3.0461,1.602,2.227,1.4319,0.282,1.1595,2.5264,5.3897,2.3765,4.8914,3.2864,6.0346,1.8251,3.5377
xegvy,8.3389,7.8268,6.2367,9.755,7.3459,8.2844,8.2387,9.5467,10.2162,7.6964,8.041,8.4517,8.1396,7.7889
y-ege,3.6917,2.5121,2.2764,2.6078,0.5494,6.0173,1.5121,2.4842,0.6761,0.0699,4.8688,6.8494,4.76,4.782
yegvx,7.8012,7.8303,7.9893,6.0198,6.9244,8.2002,7.8761,6.6192,7.8381,7.9881,8.3368,7.4334,8.6443,8.5759
