x-box           4.0236     2.1581     3.1704     5.2262     2.8725     3.7105     3.6214       5.96     2.6342     4.0762     3.8395     5.0226     1.8863     7.3507     4.4539
y-box           7.0355     4.4119     7.2632     9.0281     5.9072     7.5486     6.3495     9.0262     4.1739     7.2846     7.3844     8.4531     1.8017    12.1167     8.6252
width           5.1219     3.6771     4.7109     6.1409     3.5043     4.6643     4.1408     7.5327     3.8261     4.6713     4.7987     6.7597     2.5737     7.4644     5.8633
high            5.3724       3.11     5.3819      6.501     4.8754     6.0016     5.3883     6.4657     3.3969     6.1242     5.8186     7.3974     2.0578     7.3808     6.1824
onpix           3.5059     1.8112     2.5254     3.5241     1.6377     2.9785     1.9417     5.8299     1.5541     3.1483     3.6121     7.1499     1.4027      4.923     3.7953
x-bar           6.8976     7.4793     9.7681     4.5582     2.1768     6.0718     7.5583     6.8645     5.9438     7.1924     6.7898     7.4983     6.9866     8.1108     8.3043
y-bar           7.5004     7.0728     3.1402    10.1469     2.3275     7.1021     4.7136     8.0639    10.8613     6.9319     7.4081     7.3691     7.1304     6.4644     6.8936
x2bar           4.6286      2.252      3.288     3.5777     4.7014     5.3549    12.8981     3.9115     2.9175    13.1463     6.7671     4.7641     5.6278     3.8599     2.5034
y2bar           5.1787     6.2965      2.767     5.6861     6.6174     9.1898     4.7573     3.6443     4.2313     1.3507     5.0583     4.2369     4.6426     5.6456     6.5683
xybar            8.282    10.6158     9.0227    10.3069     1.2087     7.1667     7.2282     7.2764     8.3897     6.1764     7.0593      6.926     7.0365    10.1871    10.8256
x2ybr            6.454     5.4293     2.1241     9.7292     1.0029     6.1651    12.8155     7.4134    10.2176     6.9118     5.9592     6.2393     6.1868     4.8452     4.6042
xy2br            7.929     7.7384     8.8943     7.2307     6.0725    10.5239     8.3301     7.9261     7.1429       7.98     7.8978     8.0649     8.3421     7.6214     7.1534
x-ege           3.0461     1.4684     2.2136      2.346     0.2841     1.1563     2.8738      7.699     1.8637     5.6152     2.9904     5.1091     2.2963     4.2069     2.2486
xegvy           8.3389     7.8671     6.1888     9.6093      7.342     8.2711     8.9126     9.0485     9.9892     7.2705     8.0446      8.568     7.9866     7.7718      7.919
y-ege           3.6917     2.4384     2.2211     2.4804     0.5565     6.2512          0     2.4911     1.2176     0.0942     4.6379     7.4229     3.3153     5.2421     3.7953
yegvx           7.8012     7.7883     7.9687     6.2663     6.9217     8.3078     7.9951     7.0385      7.205      7.986      8.465     7.5824     8.3694     8.4446     8.3358

