x-box           4.0236     2.2053     3.1392     5.2244     2.8692     3.7372     2.5304     6.1488     2.6075     4.0911     3.8468     4.9656     1.8162     7.4036      4.584     3.8508
y-box           7.0355     4.6152     7.2227     9.0456     5.8924     7.6496     2.2574      9.343     4.2401     7.3522     7.4194     8.3658     1.9105    12.2354     8.7266          7
width           5.1219     3.7696     4.6809     6.1463     3.4971      4.686     3.6443     7.7291     3.7636     4.6862     4.7992     6.6843     2.4609     7.4115     5.9957     4.3812
high            5.3724     3.2247     5.3758      6.515     4.8663     6.0793     2.2839     6.6695     3.4069     6.1721      5.845     7.3348     2.1391     7.3878     6.2345     5.8232
onpix           3.5059     1.8657     2.4968     3.5326     1.6337     2.9868     1.9766     6.0955     1.4815     3.1721     3.5956     7.0583     1.3569     4.8744     3.8977     2.1492
x-bar           6.8976     7.5524     9.7548     4.5882     2.1715     6.0438     7.1373      6.852     5.8295     7.1903     6.7776     7.4981     6.9628     8.1761      8.282     7.4254
y-bar           7.5004     7.0866     3.1328    10.1423     2.3227     7.0893     7.5413     8.0251    10.8966     6.9291     7.3975     7.3787     7.1186      6.372     6.9519     4.7514
x2bar           4.6286     2.1971     3.3276     3.5591     4.7064     5.3603     5.8674     3.9475     2.9329     13.168      6.804     4.7416     5.2426      3.857      2.595    13.2044
y2bar           5.1787     6.3365     2.7869     5.6468     6.6105     9.2446     2.9875     3.7768     4.3806     1.3563     5.0744     4.2163     5.1881     5.6169     6.5122     4.9116
xybar            8.282    10.8104      9.045    10.2465     1.1977     7.1678     6.9766     7.2874     8.5524     6.1761     7.0566     6.9317     7.1235    10.2283    10.7801     7.0552
x2ybr            6.454     5.3283     2.1595      9.753     1.0029     6.1504     7.7083      7.354    10.2639     6.9028     5.9597     6.2307     5.9181      4.778     4.6425    13.0331
xy2br            7.929     7.6516     8.9433      7.242      6.064    10.5562      7.883     7.9186      7.106     7.9798     7.9173     8.0745     8.4658     7.6864     7.1108     8.1657
x-ege           3.0461     1.3842     2.1638     2.3712      0.282     1.1273     5.4306     7.7369     1.5812     5.6012     2.9593     5.0234     1.6491     4.2267     2.3599     2.9337
xegvy           8.3389     7.9014     6.1842     9.6232     7.3459     8.2587     8.1139     9.0211     9.9398     7.2814     8.0424     8.5869     8.0399     7.7449     7.9495     8.9227
y-ege           3.6917     2.4444     2.1831     2.4684     0.5494     6.2595     0.9158     2.6445     1.2846     0.0951     4.6091     7.4451     3.8755     5.3428     3.8636          0
yegvx           7.8012      7.791     7.9604     6.2811     6.9244     8.2868     7.4977     6.9969      7.168     7.9858     8.4906     7.5965      8.566     8.5142     8.3155     7.9945

