x-box           4.0236     2.2434     3.1542     5.2214     2.8757     3.9639     2.5313     6.1633     2.5935     4.0911     3.8417     4.9971     1.7743     7.5808     4.7701     3.8508     3.5371
y-box           7.0355     4.6491     7.2851      9.057     5.9191     7.5542     2.2547     9.3331     4.2029     7.3522     7.3962     8.3924     1.8764    12.4643     8.8943          7     7.5274
width           5.1219     3.8365     4.6874     6.1462     3.5087     4.7335     3.6453     7.7254     3.7524     4.6862     4.8083     6.7188     2.4018     7.4042     6.2221     4.3812     4.6504
high            5.3724     3.2566     5.4076     6.5272     4.8844     5.8892     2.2859     6.6525     3.3816     6.1721      5.854     7.3628     2.0922     7.3972     6.3493     5.8232     5.9403
onpix           3.5059     1.9057     2.5153     3.5298     1.6416     2.7733      1.975      6.056     1.4761     3.1721     3.6013     7.1156     1.3217     4.8208     4.1003     2.1492     3.3009
x-bar           6.8976     7.5799     9.7434     4.6247     2.1821     4.9365     7.1359     6.8167     5.8437     7.1903     6.7934      7.493     6.9906     8.1465     8.3212     7.4254     7.2192
y-bar           7.5004     7.0893     3.1563    10.2628     2.3324     7.2092     7.5438     8.0552    10.9017     6.9291     7.3878     7.3754     7.0877     6.3036     6.9803     4.7514     7.1754
x2bar           4.6286     2.1491     3.2999     3.4956     4.6908     6.1245     5.8609     3.9175     2.9062     13.168     6.8489     4.7912     5.2036     3.9135     2.6806    13.2044      4.352
y2bar           5.1787     6.3742     2.8532     5.5329     6.6243     8.1108     2.9984     3.7686     4.3714     1.3563     5.0392     4.1578     5.0778     5.5481     6.4275     4.9116      9.173
xybar            8.282    10.8541     9.0496    10.1954     1.2225      8.406     6.9766     7.3082     8.5297     6.1761     6.9811     6.9242     7.1341    10.2109    10.7713     7.0552     6.9001
x2ybr            6.454      5.283     2.1573      9.746     1.0029     7.0224     7.7172     7.3923     10.277     6.9028     5.9147     6.2438     5.8714     4.8173     4.5648    13.0331     5.9903
xy2br            7.929     7.6063     8.9419     6.9979     6.0838    12.6538     7.8844     7.9263       7.09     7.9798     7.8867     8.1093     8.4023     7.7758     7.0006     8.1657     8.0378
x-ege           3.0461     1.4126     2.1521     2.3634     0.2832      1.335     5.4281      7.747     1.5922     5.6012     3.0058     5.1102     1.6358     4.3504     2.5373     2.9337      1.246
xegvy           8.3389     7.8956     6.1964     9.6661      7.341     8.5318     8.1156     9.0624     9.9426     7.2814     8.0087     8.5852     8.0127     7.7052     7.9594     8.9227     8.1596
y-ege           3.6917     2.4686     2.2027     2.4474     0.5607     4.4969     0.9125     2.6085     1.2744     0.0951      4.532     7.3978     3.7914     5.4175      3.963          0     7.3727
yegvx           7.8012     7.7981     7.9641     6.2659      6.922     8.4396     7.4953     6.9648     7.1672     7.9858     8.4898     7.6061     8.5475     8.5146      8.351     7.9945     7.9659
