x-box           4.0236     2.0305     3.1389     3.2079     2.8725     3.8927     4.3876     6.1784     2.6338     4.0803     3.8405     4.6647     1.8716     7.4532     4.5031     3.6341     3.4326     6.0103
y-box           7.0355     4.3437     7.2106     5.1014     5.9072     7.3822     6.7374     9.4794     5.2732     7.2972     7.5456     8.1655     1.7426    12.2129     8.7106     6.3805     7.1121     9.7108
width           5.1219      3.462     4.6847     4.0423     3.5043     4.6757     5.9757     8.2866     4.1622     4.6767     4.7572     6.1766     2.5603     7.4624     5.9119     4.1512     4.5305     6.8535
high            5.3724     3.0936      5.355     3.7515     4.8754     5.7559     5.0944      7.701     4.3169     6.1325     5.9828     6.9868     1.9828     7.3574     6.2406     5.4146     5.6823      6.874
onpix           3.5059     1.7135      2.495     1.9501     1.6377     2.7324      4.393     8.6216     1.5512     3.1526     3.4209     6.1534     1.3794     4.8464     3.8069     1.9512     3.0894     4.1272
x-bar           6.8976     7.5757      9.774     4.3779     2.1768     4.9273      7.089     7.4361     7.2011     7.1928     6.7228      7.412     6.9647     8.1787     8.2981      7.561     7.2823     4.5244
y-bar           7.5004     6.8694      3.108    11.0017     2.3275     7.2441     7.9946     7.4113    11.0313     6.9317     7.3539     7.3633     7.1574     6.4669      6.795     4.7122     7.2213     9.7192
x2bar           4.6286     2.1533       3.29      4.011     4.7014     6.0617     3.9568     4.4526     2.2144    13.1486     7.2274     4.8472     5.6995     3.9194     2.4888    12.9122      4.444     3.3946
y2bar           5.1787     6.4321     2.6979     4.6906     6.6174     8.0999     3.4056     3.9134     3.9545     1.3514      5.297     4.4532     4.5422      5.546     6.6619      4.761     9.5035     5.8278
xybar            8.282    10.4224     8.9824    11.0507     1.2087     8.3724     7.3031     6.9773     6.6935     6.1787     6.9537     7.0545     7.0373     9.9582     10.845     7.2293     6.8397    10.2365
x2ybr            6.454     5.3372     2.0849     8.4937     1.0029     7.0395     7.2752     6.5186    11.3918     6.9137     5.8299     6.1761     6.2216     4.7772     4.5388    12.8146     5.9972     9.6472
xy2br            7.929     7.9415     8.8809     5.2992     6.0725    12.5906     7.7194     8.0227     8.0731     7.9799       7.87     8.1597     8.3392     7.5681     7.2994     8.3317     7.9816      7.464
x-ege           3.0461     1.3255     2.1918      1.377     0.2841     1.3416     6.5836     8.1845     1.6954     5.6165     2.7845     4.1206     2.2824     4.3658     2.2081     2.8732     1.1319       3.09
xegvy           8.3389     7.7758      6.183     9.7084      7.342     8.5364     8.8552     8.7268    10.1025     7.2691     7.9559      8.312     8.0279     7.8608     7.8587     8.9073     8.1305     9.6819
y-ege           3.6917     2.4483     2.2029     2.3111     0.5565     4.4809     2.2392     5.4876     0.5304     0.0944     4.4667     7.3395     3.2951     5.1331     3.7981          0     7.5603     2.6973
yegvx           7.8012     7.8226     7.9636     6.3829     6.9217     8.4353     7.1367     7.3165     7.9269     7.9859     8.6884     7.6621     8.3917     8.4616      8.405     7.9951     7.9319     6.0983
