x-box           4.0236     2.3149      1.978     3.2171      2.872     3.9119     1.6969     5.9404     3.4939     4.0762      3.934     5.0319     2.1239     3.6826     4.6236      3.875     3.5974     7.5232     6.0074
y-box           7.0355     4.4716     5.0909     7.2303      5.878     7.5542     1.2721     9.0269       5.75     7.2886     7.4555     8.4213     2.1359     8.8208     8.7622     6.9659     7.6654    12.3902     9.5493
width           5.1219     3.9547     3.1433     4.9014     3.4702     4.6707     2.4878     7.5829     4.3193     4.6733     4.9552     6.7595     2.8618     4.8549     6.1261      4.392     4.7098     7.3762     6.8331
high            5.3724     3.1318     3.9862     5.6788      4.875     5.9051     1.4314      6.498     4.2211     6.1303     5.8884     7.4122     2.3704     6.1672     6.3365     5.7841      6.034     7.3858     6.7426
onpix           3.5059     1.9851     1.4394     2.1639     1.6161      2.748     0.9027     6.0253     2.1789     3.1503     3.7454     7.1808     1.6921     2.6877     4.0737     2.1761      3.332     4.8329      4.089
x-bar           6.8976     7.5682     7.6942     7.1927     2.0952     4.8848     6.5133     7.0114     4.3219     7.1904      6.811     7.4937     6.9771    11.0444     8.3964     7.3239     7.2366     8.1129     4.4147
y-bar           7.5004      7.175     4.1983    10.9313     2.2798     7.2507     9.1637     7.9053    11.2404     6.9299     7.3254     7.3863     7.1623     2.9846     6.8215     4.8182     7.1895     6.4794     9.4412
x2bar           4.6286     2.2155      2.624     2.2403     4.7619      6.187     4.7721     3.9869     4.0623    13.1523      6.838     4.7529       5.43     4.2696     2.5624     13.267     4.4654     3.9178     3.4301
y2bar           5.1787     6.3534     3.2631     4.2248     6.6012     8.2656     2.8628     3.6392     4.6114     1.3527     5.0964     4.1554     5.5677     3.2457     6.4738     4.9659     9.2758     5.5634     6.1919
xybar            8.282    10.9581     7.4573     6.6523     1.0952     8.2005     7.4148     7.2065    11.0754     6.1764      6.957     6.9392     6.9169    10.8618    10.5493     6.9091     6.9203    10.1837    10.5809
x2ybr            6.454      5.675     2.6832    11.4485     0.9881     6.9201     8.7865     7.2139     8.5105     6.9118     5.9077     6.2501     6.1158      2.872     4.3826    13.1648      6.017     4.8084     9.5265
xy2br            7.929     7.7426     8.5165     8.0753     6.0268    12.7195     7.7743     7.8784     5.0746       7.98     7.9507     8.0927      8.422     9.8157     7.0599     8.0057     8.0039     7.5529     7.6757
x-ege           3.0461     1.7642     1.2328     1.8649     0.2589     1.2751     2.8175     7.9078     1.3956     5.6072     3.1345     5.1296     2.1497     2.2338     2.4919     2.9886     1.2261     4.3115     2.9787
xegvy           8.3389     7.8358     6.7851    10.0819      7.372      8.561     9.2577     8.9176     9.8316     7.2766     7.9737     8.6106     7.9731     6.1195     7.8514     9.0057     8.1699     7.8276     9.4507
y-ege           3.6917      2.527     1.5909     0.7043      0.503     4.6179     0.8208      2.582     2.4018     0.0942     4.6386     7.4623     4.2162     2.1246     3.9395          0     7.5386     5.4567     2.8463
yegvx           7.8012     7.7412     7.6804     7.9147     6.9464     8.5068       7.76     7.0661     6.3272      7.986     8.4792     7.5519     8.5333     8.3925     8.4182     7.9943     7.9647     8.4952     5.9375
