x-box           4.0236     4.1635     2.9988     2.9671     2.8692     4.0098     1.3229     6.1274     3.2676     4.0869     3.9584     4.5903     2.3335     6.6132     4.1008     3.8508     3.6524     7.3107     5.8301     1.9389
y-box           7.0355     6.2552     6.9802      6.534     5.8983     7.7402     0.8036     9.5147     5.2281     7.3394     7.8472     7.9526     2.6334    11.3188     8.2419          7     7.8333    11.6469      9.274       4.21
width           5.1219     5.8015       4.56     4.6178     3.4971      4.743     1.9049     8.2548     4.1256     4.6828     4.8836     6.0854     3.1531     7.2235      5.598     4.3812     4.7381     7.3192     6.7569     3.3448
high            5.3724     4.8601     5.2619     5.2229     4.8721     6.0154     1.0418     7.6481     3.8511     6.1636     6.1429       6.87     2.7592     7.1156     5.9718     5.8232     6.1603     7.3635     6.6545      2.993
onpix           3.5059     4.2552      2.383     1.8949     1.6337     2.8128     0.5956     8.5935     2.0034     3.1677     3.5369     6.1162     1.9066     4.9155     3.5078     2.1492     3.2905     4.5725     4.0366     1.6447
x-bar           6.8976     7.1267     9.7846     7.2113     2.1686     4.8799     7.0104     7.3579     4.4286     7.1899     6.6798     7.4471     6.8875      9.277     8.0155     7.4254      7.281      6.822     4.0211     7.5583
y-bar           7.5004     8.0265     3.1199    11.0425     2.3227     7.2109     7.7607     7.3761    11.0499     6.9293     7.3207     7.4163     7.2116     5.4451     6.8399     4.7514     7.1635      8.355      9.639     6.8694
x2bar           4.6286     3.9471     3.3958     2.1699     4.7064      6.169      5.512     4.4783      3.988    13.1677     7.3179     4.7797      5.514     3.4412     2.2236    13.2044     4.7206     4.1139     3.3569     2.2177
y2bar           5.1787     3.2977     2.6275     4.3439     6.6105     8.2388     2.5873     3.9606     4.7444     1.3556     5.3354     4.3117     5.9098     5.5491     6.8709     4.9116     9.6492     5.4228     6.0073     6.3237
xybar            8.282     7.3091     9.0373     6.6486     1.1948     8.3142       7.28     6.9798    11.0301     6.1737     6.9669     7.0468     6.9104    10.1691    10.8166     7.0552     6.8365     9.7712    10.4618    10.3525
x2ybr            6.454     7.2949     2.1292    11.5011     1.0029      6.933     7.1881     6.4904     8.5293      6.901     5.8094     6.2225     6.2249     3.6074      4.799    13.0331     5.9524     6.5085     9.9667     5.3294
xy2br            7.929     7.7089     8.9208     8.1062     6.0698    12.7807     7.9175     8.1153     5.2324     7.9798     7.8699     8.2054     8.6328     7.8192     7.5078     8.1657     8.0127     6.3992     7.9724     7.9403
x-ege           3.0461     6.6229     2.0733     1.6157      0.282     1.2765     2.4274     8.1587     1.3769        5.6     2.8628     4.1349     2.0324     4.2109      1.878     2.9337     1.1063     3.9774     3.0756     1.2963
xegvy           8.3389     8.8195     6.2224    10.0977     7.3459     8.5265     8.2915     8.6461     9.7823     7.2828     7.9115     8.4003     8.1499     7.1127     7.8336     8.9227     8.1143      9.177     9.5146     7.7865
y-ege           3.6917     2.0936     2.0803     0.6656     0.5494     4.6313     1.2863     5.5298     2.3313     0.0949      4.343     7.4202     4.6277     5.1497     3.4795          0     7.8317     4.4303     2.4683     2.3855
yegvx           7.8012     7.1465     7.8987     7.9278     6.9244     8.4483     8.0167     7.2952     6.3537     7.9859      8.632     7.7181     8.6544     9.4431     8.1016     7.9945     8.0175     6.9783     5.9992      7.849
