x-box           4.0236     4.2755     2.9282     3.2619     2.3776     3.9605     1.3516     6.0807     4.2714     4.0911      2.871     4.5219     2.2901     6.3902     4.0831     3.8508     3.6979     7.4488     6.1703      1.933     4.0245
y-box           7.0355     6.4549     6.8613     7.7432     2.7885     7.6857     0.8689     9.5166     7.5495     7.3522     5.8944     7.8522     2.6136    11.0481     8.2369          7     7.8406    11.9156     9.3447     4.2987     7.9184
width           5.1219     5.9185     4.5207     4.9716     3.2168     4.6944     1.8677      8.219     4.9727     4.6862     3.4868     6.0097     3.3144     7.0863     5.5692     4.3812     4.7231     7.4165     7.2291     3.3294      4.974
high            5.3724     4.9641     5.2141     5.9742     2.8806     5.9839     1.1478     7.7407     5.4854     6.1721     4.8768     6.7635     2.1765      7.012     5.9716     5.8232      6.249     7.4791     6.6832     3.0712     6.1738
onpix           3.5059     4.3298     2.3516     2.1445     1.9807     2.7558     0.7163     8.7084     2.7615     3.1721     1.6276     6.0313     1.2637     4.7864      3.484     2.1492     3.3692     4.7182     4.3664     1.6406     3.5859
x-bar           6.8976     7.1659     9.8005     7.2387     6.9119     4.8801     7.1549     7.4642     4.3308     7.1903     2.1408     7.4395     5.5994     9.4283     7.9643     7.4254      7.186      7.037     3.9556     7.6294     6.6715
y-bar           7.5004     7.9709      3.129    10.9587     7.1935     7.2383     6.9881     7.3209    11.3412     6.9291      2.305     7.4565    10.4067     5.2869     6.7828     4.7514     7.1483     7.9867     9.0991     6.9079     7.2974
x2bar           4.6286     3.9796     3.4197     2.2142     5.4603     6.2003      6.267     4.5641     4.1546     13.168     4.7273     4.7459     3.1369     3.4042     2.1917    13.2044     5.2364     3.9848      3.419     2.2128     7.2859
y2bar           5.1787     3.3453     2.5681     4.2219      5.986     8.3509     2.7306     3.9546     4.9274     1.3563     6.6129     4.2888     4.5426     5.4463     6.9322     4.9116     9.2923     5.6528     5.8824     6.2505     5.2984
xybar            8.282     7.2919     9.0243     6.6142     6.8612     8.2968     7.2169     6.9233    11.3723     6.1761     1.1584     7.0449     8.9675    10.1484    10.7638     7.0552     6.8448     9.8065    10.1765    10.3419     6.9519
x2ybr            6.454     7.2415     2.1144    11.6465     6.1628     6.9137      6.205     6.4046       8.41     6.9028     0.9941     6.2456     9.7596     3.3882     4.8338    13.0331     5.9287     6.3302      9.999     5.2045     5.8197
xy2br            7.929     7.6828     8.9112     8.0852     8.6358    12.8246     7.9571     8.0757     4.8172     7.9798     6.0557     8.2211     7.2465     7.8325     7.6122     8.1657     7.8643     6.7182     8.7998     7.7306     7.9659
x-ege           3.0461     6.6916     2.0401     1.6477      2.024     1.2295     2.5781     7.9849     1.2667     5.6012     0.2727      4.133      1.927     4.1505      1.844     2.9337      1.228     4.0161     3.8566     1.2582     2.9514
xegvy           8.3389      8.808     6.2287    10.0374     8.1421     8.5351     7.8713     8.6115     9.8388     7.2814     7.3578     8.4338     9.8824     7.0191     7.8061     8.9227     8.0923     8.9288     9.3117     7.8032     7.8953
y-ege           3.6917     2.1018     2.0231     0.6219     4.8092     4.6491     1.6996     5.7669      2.722     0.0951     0.5337     7.3832     1.3753     4.9819      3.481          0     7.9497      4.759     2.4747     2.3664     4.1567
yegvx           7.8012      7.128      7.854     7.9497     8.6918     8.4284     8.1299     7.3744     6.1169     7.9858     6.9355     7.6947     7.0497     9.5336     8.0525     7.9945      8.221     7.1176     6.1899     7.8835     8.5999
