x-box           4.0236     5.4935     3.0928     3.4742     2.4373     3.7642     1.3333     5.6477     2.8963     4.0909     2.8717     4.1212     2.0252     7.1003     4.2114     3.8508     3.6551     7.7067     5.4363     1.9263     4.1631     4.1214
y-box           7.0355     8.8548     7.1856     8.0594     2.9975     7.5229     0.8244     9.2719     4.3353     7.3495      5.898     7.0799     2.1155    11.8149     8.4047          7     7.8475    11.0147     9.3622     4.4077     8.2595     6.2148
width           5.1219     6.7497     4.6439     5.0736     3.2847     4.5649     1.8686     7.7156     3.7885     4.6848     3.4956     5.4856     3.2773     7.3935     5.6801     4.3812     4.7244     8.2434     5.9436     3.2631     5.1332     5.8174
high            5.3724     6.3613      5.348     6.1408     2.9723     6.0055     1.0884     7.8398     3.2044     6.1677     4.8746     6.1296     2.2668     7.2986     6.0755     5.8232     6.1854     7.2273     6.6138     3.1687     6.4752      4.724
onpix           3.5059     3.9776     2.4466     2.2649     2.0086     2.6673     0.6953     8.4766     1.7402     3.1677     1.6327     5.3658     1.0861     4.9456     3.6147     2.1492     3.2565     5.1833     3.5898     1.6212     3.8236     4.2256
x-bar           6.8976     4.5962      9.884     6.9483     6.8549     4.8647     7.1613     7.4781      4.427     7.1838     2.1574      7.555      6.958     8.6454     8.2595     7.4254     7.3154     5.5777     4.9134     7.6109     6.6727     7.1858
y-bar           7.5004     8.1086     3.0951     10.947     7.2263     7.1517     6.9343     7.2094    10.6647     6.9293     2.3178     7.4674    11.0567     6.1431     6.6175     4.7514     7.2097     9.0044    10.8163     6.8065     7.2801      7.783
x2bar           4.6286     4.2231     3.4304     2.2739     5.5843     6.3272     6.2079     4.8125     3.7664    13.1596     4.7114     4.4961     2.3403     3.5871     2.3034    13.2044     4.5511     3.5147     3.9081     2.1612     7.4344     4.0172
y2bar           5.1787     7.0992     2.5673     4.2364     5.9133     8.7386     2.7288      4.157     4.9084     1.3556     6.6064     4.0498     3.6492     5.6112     6.8519     4.9116     9.8302     3.9883     5.2067     6.3691     5.5076     3.5113
xybar            8.282    10.5632     9.0963     6.8333     6.9182      7.532     7.2031     6.9148    10.9043     6.1778     1.1808     7.1409     6.9538    10.2418    10.6621     7.0552     6.8787     7.8783    11.3768    10.2948     6.9396     7.4479
x2ybr            6.454     9.2479     2.1299    11.6227     6.2294     6.4369      6.172     6.2164     8.6435      6.901          1      6.232    10.9244     4.2667     4.5054    13.0331     5.9861      8.588     8.0981     5.2583     5.7966     7.0827
xy2br            7.929     9.8996     8.9548     8.0504     8.6402    13.0713     7.9701       8.05     5.7301     7.9859     6.0671     8.2004     8.0315     7.4969     7.5104     8.1657     7.9688     7.9399     4.7683      7.938     7.8629     7.6778
x-ege           3.0461     2.8335     2.1729     1.7351     2.0984     1.0695     2.5579     6.7148      1.434      5.596     0.2799     4.0035     2.0105     4.2939     1.9935     2.9337     1.0156     6.8446     1.7766     1.1804     2.8963     6.6842
xegvy           8.3389     8.5927     6.1798    10.0349     8.1519     8.4077     7.8507     8.4531     9.6445     7.2828     7.3499     8.4982    10.3887      7.556     7.7635     8.9227     8.1265    10.0528     9.9259     7.7624     7.9037     8.4264
y-ege           3.6917      3.137     2.1288     0.6525     4.6125     4.9909     1.7216     6.8781     2.2075      0.099     0.5452     7.0371     0.5672     5.2247      3.637          0     7.9116      2.437     3.2411     2.3457     4.5597     1.9635
yegvx           7.8012     6.4109     7.9559     7.9251      8.682     8.6673     8.1266     7.5867     6.3635     7.9919     6.9242     7.4863     7.8508     8.7636     8.3738     7.9945     7.8873     6.8138     6.0344     7.8657     8.6998      7.188
