x-box           4.0236     5.6352     3.1997     3.3979     2.4067     3.8481     1.3411     5.6622     2.9255     4.0909     2.8739     4.1479     2.0514     2.5966     4.2572       3.88     3.6621     7.0979     5.2733     1.9307     4.1581     4.1142     7.7452
y-box           7.0355      8.999     6.9023     8.0107     2.9239     7.6041     0.8191     9.2924     4.4323     7.3495     5.8944      7.111     2.1235     7.4034     8.4432     6.9829     7.8569    11.8286     9.2909     4.4079       8.21     6.2145    11.0652
width           5.1219     6.6789     4.9858     5.0414     3.2495     4.6177     1.8655     7.7418     3.7777     4.6848     3.4839     5.5136     3.2901     3.5279     5.7328     4.3943     4.7345     7.3902     5.8589     3.2784     5.1182     5.8068     8.2978
high            5.3724        6.5     5.1076     6.1135     2.9208     6.0256     1.0941     7.8367     3.2834     6.1677     4.8768     6.1835     2.2243     5.7639     6.1063     5.7829     6.1948     7.2852      6.466     3.1648     6.4358      4.715     7.2681
onpix           3.5059      3.873     2.6898     2.2243     1.9832     2.7167      0.698     8.5044      1.727     3.1677     1.6217     5.4327     1.1091     1.5365     3.6739     2.1829     3.2707     4.9423      3.597     1.6392     3.7967     4.2134     5.2311
x-bar           6.8976     4.1575     8.9759     7.0668      6.874     4.9164     7.1064     7.4829     4.2771     7.1838     2.1408     7.5527     6.8786    11.7725     8.2658     7.3029     7.3086     8.6983     5.5756     7.5921     6.6593     7.1473     5.6533
y-bar           7.5004     8.8587      3.245    10.9506     7.2233     7.1553     7.0293      7.188    10.7218     6.9293     2.3021     7.5192    11.0432     3.1073     6.5977     4.8343     7.2017     6.0371    10.8161     6.8684     7.2605     7.7951     8.9452
x2bar           4.6286     3.7246     2.5156      2.247     5.5296      6.314     6.2677     4.8502     3.7322    13.1596     4.7243     4.5024     2.3663      6.485     2.2866      13.28     4.5793     3.6027     4.3489     2.1447     7.3993     4.0085     3.5481
y2bar           5.1787     6.8913     2.2649      4.227     5.9619      8.628     2.7176     4.1681       5.03     1.3556     6.6305     4.0426     3.5844     4.3047     6.8966     4.9771     9.8207     5.5885     4.7103     6.3359     5.5017     3.5219     4.0681
xybar            8.282    10.6037     7.9164      6.737     6.9145     7.7389     7.1638     6.9155     10.938     6.1778     1.1672     7.1291     7.0288     13.309    10.5927       6.88     6.8603    10.2235    11.5139    10.2729     6.9688     7.4642     7.8593
x2ybr            6.454     9.8201     1.7875    11.6342     6.2289     6.5102     6.2347     6.2127     8.8438      6.901     0.9941     6.2805    10.8436     4.1974     4.5431    13.1886     5.9793      4.263     7.0202     5.2521     5.8284     7.1035      8.517
xy2br            7.929     8.9065     8.3598     8.0614     8.6344    13.0017     7.9499     8.0303     5.8325     7.9859     6.0645     8.2275     8.0021    11.2446     7.5546     7.9714     7.9655     7.6122     4.2028     7.8352     7.9241      7.682     7.9526
x-ege           3.0461      2.624        2.5     1.7116     2.0692     1.1331     2.6015     6.7506     1.3526      5.596     0.2639     4.0286     2.1173     0.6695     2.0259          3     1.0293     4.3365     1.8829      1.214     2.8943     6.6606      6.877
xegvy           8.3389     9.0102     6.1671     10.036      8.151      8.471     7.8863     8.4295     9.6081     7.2828     7.3578     8.5457    10.3848     6.3605     7.7586     9.0229     8.1241     7.4818      9.903     7.7971     7.9025     8.4365    10.0222
y-ege           3.6917     2.8923      2.568     0.6342     4.6432     4.9266     1.7213     6.8335     2.1861      0.099     0.5279     7.0984     0.5679     0.3648     3.7284          0     7.9103     5.1943      3.529     2.3539     4.5305     1.9648     2.4993
yegvx           7.8012      6.065     7.7762     7.9426     8.6719     8.6246     8.1443     7.5705     6.2699     7.9919     6.9443     7.5101     7.8025     7.8498      8.403     7.9943     7.8983     8.8002     6.4635     7.8767     8.6977     7.1729     6.7911
