x-box           4.0236     5.5743     2.1822     4.8185     2.5558     3.7695     2.9962     5.6688     2.2546     4.4857     2.8739      4.167     1.4013       3.26     4.2048      3.788     3.6453     7.1131     4.6027      1.934       4.21     4.0729     7.7188     3.2215
y-box           7.0355      8.942     6.4025     8.0375     3.3483     7.5613     3.9192      9.288     2.5736     8.6667     5.8944     7.1395     0.9868     7.0303     8.4378     6.6467      7.861    11.8607     8.2929     4.3827     8.3685     6.1045    11.0754      7.692
width           5.1219     6.8008     3.0932      5.178     3.4369     4.5502     3.5692     7.7535      3.273     5.0825     3.4839     5.5398     1.9305     5.0179     5.6687     4.2772     4.7308     7.3694     5.5589     3.2942     5.1935     5.7715     8.2681     4.9502
high            5.3724     6.3551     5.1441      5.863     3.2287     6.0167     4.0269     7.8365     2.1472     6.8889     4.8768     6.2023     1.2635     5.1486     6.1072     5.5489     6.2014     7.2914     5.8535     3.1264      6.555     4.6823     7.2841     5.9581
onpix           3.5059     4.0495     1.2585     2.8314     2.1599     2.6506        1.9      8.546     1.2423     3.6571     1.6217     5.4567     0.8225     2.7166     3.6255      2.087     3.2549     4.9132     3.4057     1.6419     3.9045     4.1872     5.2246     2.1114
x-bar           6.8976     4.8514    11.8898     3.5691     6.8665     4.8346     6.8962      7.489     5.6002     7.2254     2.1408     7.5455     6.9923     9.0536     8.3567     7.3261     7.3262     8.6791     5.8687     7.6096      6.699     7.1817     5.6725     7.3093
y-bar           7.5004     8.1475     3.1441    11.1909     7.2174      7.184     7.0231     7.1896    10.4888     6.8286     2.3021     7.5081     7.1676     3.2242     6.5398     4.8478     7.2121     6.1266    10.7643      6.882     7.2455      7.852     8.9449    10.9423
x2bar           4.6286     3.9737     6.5678     3.2389      5.616     6.3253    12.3615     4.7998     3.1115    13.0857     4.7243     4.4764     5.7652     2.5612     2.2837    13.1685     4.5223     3.5796     5.1869     2.1124     7.4025     4.0109      3.558     2.2215
y2bar           5.1787     7.2266     4.1737     5.5351     6.0238     8.7714     1.1308     4.1334     4.5153     1.3841     6.6305     4.0388     3.2944     2.2751     6.8451     4.9348     9.8734     5.6162     3.7896     6.3834     5.5365     3.4548     4.0551      4.232
xybar            8.282    10.5353    13.1864    11.1171     6.9273     7.5706     6.1923     6.9284     9.0716     6.1683     1.1672     7.1409     7.0143     8.0124    10.6396      6.875     6.8717    10.2795    11.3636    10.2978      6.924     7.4026     7.8594     6.5754
x2ybr            6.454     8.9715     4.3305     10.034     6.1864     6.4572        6.5     6.1953      9.683     7.1714     0.9941     6.2854     6.0838     1.8033       4.42    13.1739     5.9893      4.258     6.0051     5.2198     5.8015     7.1425      8.529    11.6658
xy2br            7.929     9.4162     11.322     5.9918     8.6272     13.119        8.2     8.0228     7.1012     7.9746     6.0645     8.2135     7.8853      8.403     7.5391     7.9728     7.9394     7.5119     3.6869     7.7851      7.925     7.6975     7.9058     8.0931
x-ege           3.0461     2.8472     0.5169     1.5504     2.1355     1.0428     4.7615     6.8194     1.8415     6.0381     0.2639     4.0529     2.2822     2.5516     2.0007          3      0.984     4.2906     1.7222     1.1994      2.938     6.6877     6.8304     1.6356
xegvy           8.3389     8.6681     6.4873     9.9731     8.1447     8.4164     7.5192     8.4337     9.8845     7.1016     7.3578      8.549     7.9658     6.1018     7.7439     9.0707      8.123     7.5255     9.8182      7.802     7.8835     8.4864    10.0014    10.0131
y-ege           3.6917     3.3973     0.1737     2.1897     4.7872      4.987       0.15     6.8299     1.3957     0.1492     0.5279     7.1226     2.3352     2.5832     3.6493          0     7.9109     5.2588      3.596     2.4087     4.5915      1.926     2.5014      0.599
yegvx           7.8012     6.3151     7.8136     5.5597     8.7013     8.6357     8.1808     7.5484     7.0317     7.9937     6.9443     7.4771     8.2271     7.8239     8.4535     7.9946     7.8645     8.7811     7.4562      7.875      8.697     7.2089     6.8014     7.9699
