x-box           4.0236     5.5359     2.1702     4.7952     2.1202     3.7292     3.0115     5.7225     2.2547     4.5168     2.8713     4.2696     1.4133     3.2517      4.221      3.788     3.6559     7.1556       4.63      2.104     4.8686      4.074     7.7289     3.2224     3.2629
y-box           7.0355     8.8595     6.3532     7.9905     2.0236       7.47     4.0577     9.2161     2.5663     8.7651     5.8947     7.2803     1.4327     7.0111     8.5534     6.6467     7.8313    11.8984     8.3333     4.2878     9.5391     6.0381     11.083     7.6961     6.1942
width           5.1219       6.78     3.0766     5.1476     2.8654     4.5203     3.5769      7.887     3.2692     5.1275     3.4854     5.6862     1.9333     5.0111     5.6578     4.2772      4.707     7.4193     5.5933     3.6963     5.9709     5.7803     8.3007     4.9513     4.1048
high            5.3724     6.2821     5.1106     5.8417     2.3227     5.9903     4.0346     7.7968     2.1491     6.9765     4.8743     6.3295     1.5974     5.1397     6.1822     5.5489     6.1755     7.3079     5.8867     2.9932     7.3352     4.6536     7.2889     5.9632      5.098
onpix           3.5059     3.9946     1.2511     2.8036     1.6835     2.5957     1.9462     8.8712     1.2422     3.7349     1.6228     5.6434     0.8719     2.7095     3.6364      2.087     3.2385     4.9337     3.4333     1.8314     4.8558     4.1984       5.24     2.1092     2.7825
x-bar           6.8976     4.8148    11.9149     3.5286     6.8376      4.795     7.1154     7.5372     5.6066     7.2315      2.152     7.5371     6.9946     9.0526      8.404     7.3261     7.2981     8.6921     5.8817     7.6621     6.8452     7.1827     5.6311     7.3132     6.7212
y-bar           7.5004     8.2222     3.1319    11.2357     7.1336     7.2089     7.0192     7.1843    10.4845      6.802      2.307     7.5699     7.2153     3.2227     6.4863     4.8478     7.2044     6.1188    10.7533      6.899     7.0476     7.8509     9.0237    10.9526      7.337
x2bar           4.6286     3.8769     6.5787     3.2464     4.9794     6.3346    12.7538      4.668     3.1077    13.0201     4.7193     4.3702     5.7083      2.556     2.2721    13.1685     4.6525     3.5119       5.16     2.0068     7.2024     3.9843     3.5111     2.2079     6.6881
y2bar           5.1787     7.2723     4.1447     5.5024     6.7718     8.8859     1.1154     3.9049     4.5259     1.3859     6.6345     4.1006     3.1292     2.2628     6.8354     4.9348     9.7598     5.6093     3.8233     6.5292     5.7308     3.4002     4.0311     4.2224     5.0018
xybar            8.282    10.5904    13.1787    11.1262     6.8099     7.5068     6.1154     6.9167     9.0445     6.1913     1.1813     7.1334     7.0904     8.0041    10.6159      6.875     6.8944    10.3079    11.3667    10.6849     7.0455     7.4238       7.92     6.5763     7.0067
x2ybr            6.454     9.0381     4.3319    10.0524     6.0771     6.4642     6.5192     6.1913      9.706     7.2517     0.9971     6.3039     6.1819     1.8022     4.3552    13.1739      5.983       4.24     6.0267     5.1595     5.9773     7.1693     8.5452     11.675     5.9265
xy2br            7.929     9.3017    11.3234     5.9833      8.814    13.1779          8     8.0377     7.1201     7.9765     6.0673     8.1248     7.8471     8.3942     7.5617     7.9728     7.9216     7.5094     3.6967     7.7494     8.0185     7.7388     7.9156     8.0895     8.1985
x-ege           3.0461      2.854     0.5149      1.525     1.6865     0.9865     4.8462     7.3062     1.8302     6.1174     0.2661     4.1491     2.3186     2.5408     1.9893          3     1.0068     4.3194     1.7367     1.3675      3.304     6.7612     6.8504     1.6303     2.5803
xegvy           8.3389     8.6743     6.4894      9.969     8.1079     8.3926     7.5192     8.5253     9.8965     7.0503     7.3538      8.582     8.0205     6.1203     7.7309     9.0707     8.1175     7.4955     9.8233     7.7882     7.9268     8.4854    10.0622    10.0171     7.9847
y-ege           3.6917     3.3529     0.1617     2.1679      5.038          5     0.0077     6.8414     1.3934     0.1577     0.5322      7.296     2.0474     2.5837     3.6448          0     7.9216     5.2637       3.59     2.5869     4.7955     1.9339     2.4785     0.5987     4.2322
yegvx           7.8012     6.1776     7.8255     5.5655     8.7102     8.6286          8      7.557     7.0362     7.9866     6.9444     7.3516     8.1475     7.8257     8.4886     7.9946     7.9489     8.7903     7.4367     7.8588     8.4751     7.2321     6.7778     7.9711     8.7475

