x-box           4.0236     5.3516     1.9013     4.8376     2.0154     3.7191     3.0706     5.7192     2.2532     4.5203     2.8515      4.278     1.5552     4.2142     4.7299     3.8508     3.6186     7.6129     4.6667     1.8529     4.8207     4.0847     7.6937     3.2365     3.3614     2.2833
y-box           7.0355     8.6203     4.0494     8.1037     1.9374     7.4853     4.1843      9.199     2.5527     8.7703     5.8061     7.2831     1.1812     9.2273     8.8369          7     7.7891    12.5274     8.4185     7.1261     9.4993     6.0824    11.0133     7.7162     5.9256     4.3421
width           5.1219     6.6484     3.2532     5.2143     2.7146     4.5088     3.6235     7.9369     3.2595     5.1351     3.4394     5.7118     2.1382     5.6969     6.2347     4.3812     4.7153     7.3819     5.5815     2.3845     5.9444     5.7723     8.2798      4.958     4.3036     3.9929
high            5.3724     6.1787     3.4614     5.8894     2.2239      6.002     4.1373      7.736     2.1561     6.9899     4.8394      6.377     1.4495     6.3904     6.3262     5.8232     6.1388     7.4314     5.9728     5.2794     7.3158     4.6785      7.296     5.9724     4.9656      3.019
onpix           3.5059      3.854     1.2554      2.871     1.5741     2.5972     1.9804     8.8601     1.2331     3.7466     1.5909     5.7038     1.0221     3.3806     4.0745     2.1492     3.2004      4.846     3.4457     1.5756     4.8516     4.1979     5.2253     2.1183     2.9189     1.9532
x-bar           6.8976     4.7009     9.9635     3.6521     6.8255     4.8055     7.1137     7.5833     5.5918     7.2331     2.0455     7.5393     6.9605     9.6442     8.6052     7.4254     7.3216     8.2996     5.7917      6.916     6.8453     7.1625     5.5803     7.2983     6.7412     7.7659
y-bar           7.5004     8.1098     2.9721    11.1786     7.1131     7.2083     7.0196     7.1192     10.538     6.8007     2.2455      7.615     7.4297     3.3295     6.7033     4.7514     7.2214     6.4378    10.8351     5.6681     7.0373     7.8627     9.0471    10.9488     7.3276     7.2056
x2bar           4.6286     4.0841     3.9421     3.1774     4.7783     6.3576    12.8275     4.6325      3.096    13.0068      4.803     4.3639     6.1986     2.9654     2.5852    13.2044     4.4077     3.7215     5.3678     1.9643     7.2293     3.9897     3.4904     2.2168     6.7449     2.2151
y2bar           5.1787     7.1928     2.3541     5.5979     6.7903     8.9057     1.1294     3.9369      4.481     1.3885     6.5242     4.0801     3.3751     2.7891     6.6642     4.9116      9.884     5.6804     3.7011     6.3971     5.7222     3.3844     4.0736     4.2365     5.1235     6.3516
xybar            8.282    10.6811     9.6245    11.1509     6.8452     7.4676     6.1059     6.9419     8.9863     6.1858     1.0242     7.1092     7.0372     8.7792    10.7875     7.0552     6.9385    10.3608    11.3043     7.5441     6.9965     7.3822     7.9367     6.5808     6.9988     11.246
x2ybr            6.454     9.1729     2.6545     9.9355     6.0527     6.4381     6.5176     6.1419     9.7722     7.2601     0.9788     6.3282     6.5842     2.0313     4.3897    13.0331     5.9965     4.6234     6.0272     4.1849     5.9606     7.2037     8.6186    11.6636      5.914        5.4
xy2br            7.929     9.7255     9.4099     5.9009     8.9078    13.1807          8     8.0177     7.1234     7.9764     5.9909     8.1332     7.8188     8.6507     7.2399     8.1657     7.9244     7.5464     3.6739     8.6282     8.0014     7.7666     7.8969     8.0894     8.1832     7.4706
x-ege           3.0461     2.7909     1.3841     1.5127     1.5346     0.9804     4.8549     7.4177     1.8186     6.1385     0.2485     4.1601     2.6237          3     2.5469     2.9337     0.9473     4.3354     1.7174     0.1891     3.2827      6.738     6.7909     1.6426     2.6994     1.5976
xegvy           8.3389     8.5923     6.3906     9.9585     8.1065      8.389     7.5255     8.4581     9.9167     7.0439     7.3909     8.6208     8.1429     6.0428     7.8303     8.9227      8.116     7.7162     9.8424     7.3866     7.9072      8.524    10.0928    10.0184     7.9711     7.8929
y-ege           3.6917     3.1565     1.2468     2.2604      5.056     5.0275     0.0078     6.6404      1.385     0.1588     0.4697     7.3435     2.2253     2.9242     3.9506          0     7.8348     5.7046     3.6377     1.6765     4.7968     1.9359     2.4904     0.6032     4.5556     2.6087
yegvx           7.8012     6.2886     7.7704     5.5184     8.7431     8.6582          8     7.6138     7.0338     7.9865     6.9667     7.3093     8.1382     8.2142     8.6037     7.9945     7.8383     8.5696     7.4819     7.7416     8.4775     7.2323     6.7305     7.9658     8.7929     7.8611

