x-box           4.0236     3.5462     2.1992     4.2653     2.0318     3.7734     3.0193     5.7214     2.1045     4.5168     2.8541     4.2768     1.5051     3.2269     7.4115     3.8588     3.6396     7.6054     4.8046     1.8294     4.8683     4.1266     6.2854     3.2909     3.3665     2.1822     4.5868
y-box           7.0355      5.349     6.3983     7.1727     1.9767      7.584     4.0734      9.206     2.1811     8.7651     5.8146     7.2855     1.1192     6.9663     12.271      6.904     7.8375    10.9247     8.6572      7.121     9.5536     6.1989    10.0317     7.8928     5.9759     4.2216     8.7008
width           5.1219     4.8168     3.1079     4.7685     2.7423      4.543      3.583     7.8955     3.1365     5.1275     3.4347     5.6934     2.1091     5.0132     7.4876     4.3672     4.7279     8.1988     5.6554     2.3434     5.9502     5.8294     7.3293     4.9866     4.3082     3.8589     6.0344
high            5.3724     3.7609     5.1328     5.2453     2.2545     6.0703     4.0502      7.804     2.0655     6.9765     4.8389     6.3496     1.3678     5.1288     7.3719     5.7288     6.1608     7.1777     6.1599     5.2873     7.3301     4.7605     7.0732      6.067     5.0278     2.9341      6.228
onpix           3.5059     2.4206     1.2697     2.4944     1.6076     2.6309     1.9537     8.8796     1.1574     3.7349     1.5866      5.654     0.9426     2.6911     4.9753     2.1695     3.2138     5.1566     3.5453     1.5529     4.8318     4.2881     4.4293     2.1622      2.938     1.8666     3.9036
x-bar           6.8976     4.9354     11.834     3.5957     6.8399     4.7949      7.112     7.5423     6.0139     7.2315     2.0365     7.5382     6.9966     9.1186       8.73     7.3107     7.3251     5.5136     5.8206      6.879     6.8227     7.2328     4.9488     7.2252     6.7532      7.846     8.6572
y-bar           7.5004     8.0541     3.1743    11.3867      7.123     7.2148     7.0232     7.1841    10.9206      6.802     2.2371     7.5856     7.2103     3.2006     5.9031     4.8362     7.2155     9.1491    10.8046     5.6739     7.0434     7.7853     8.5232    10.9745     7.3323     7.2635     6.5647
x2bar           4.6286     4.2094     6.5104     3.3079     4.8123     6.3555    12.7645     4.6816     2.7897    13.0201     4.8085     4.3685     5.9089     2.5725     3.6123    13.2542     4.4117     3.4789     5.3233     1.9719     7.1885     4.0271     3.3756     2.1743     6.8278     2.2173     2.5746
y2bar           5.1787      6.801     4.1992     5.4418     6.7858     8.8867     1.1197     3.9104     3.8621     1.3859     6.5593     4.0896     3.1361       2.06     5.4233     4.9718      9.894     3.7937     3.7176     6.4276     5.7372     3.4441     7.3427     4.2601     5.0987     6.2455      6.619
xybar            8.282    10.1832    13.1992    11.2365     6.8229      7.498      6.112     6.9045     8.3148     6.1913     1.0182     7.1224     7.0866     8.0146    10.1909     6.8757     6.9505     7.9699    11.2931     7.5076     7.0722     7.3435     10.711     6.6327     6.9424    11.2729    10.7881
x2ybr            6.454     8.9337     4.3361     9.8335     6.0583     6.4609     6.5135      6.194    10.0864     7.2517     0.9757     6.2986      6.279     1.7701     4.2067    13.1864     5.9929     8.6657     6.0604     4.2117     6.0056     7.1096     8.9366    11.6515     5.8475     5.2643     4.2793
xy2br            7.929     9.6789    11.2988     5.7559     8.8526    13.1953          8     8.0289     6.9554     7.9765     5.9909     8.1384     7.8313     8.3763     7.7112     7.9718     7.9452     7.9443     3.7211     8.6674     8.0561     7.7424     8.4878      8.071     8.1171     7.2464     7.3114
x-ege           3.0461     2.5288     0.5145     1.3304     1.5896     1.0059     4.8417     7.2945     1.8579     6.1174      0.231     4.1391     2.5467     2.5637     4.5252          3     0.9452     6.8735     1.8117     0.1533     3.2922     6.7751     2.8085      1.634     2.6949     1.5321     2.4445
xegvy           8.3389     8.6789     6.4938     9.9074     8.1039     8.3906     7.5251     8.5413    10.1476     7.0503     7.3921     8.5834      8.036     6.1318      7.363     9.0339     8.1113    10.1099     9.8401     7.4168     7.9453     8.4633        8.9    10.0255     7.9449     7.9213     7.7865
y-ege           3.6917     2.4887     0.1743     2.1139     5.0042     5.0273     0.0077     6.8398     1.1894     0.1577      0.462      7.327     2.1721     2.5695     5.3818          0     7.8551     2.3042     3.7282     1.6609     4.7814     2.0068     3.6549     0.6166      4.607     2.5535     3.9059
yegvx           7.8012     6.8325     7.8091      5.627     8.7116     8.6309          8     7.5552     7.2869     7.9866     6.9696      7.335     8.1327     7.8053     8.8734     7.9944     7.8657      6.881     7.4565     7.7732     8.4786     7.2192     5.8512     7.9558     8.8076     7.9076     8.6534

