x-box           4.0236     3.5504     2.0837     4.2469     2.2742     3.7593     3.6246     5.7285     2.1018     4.7143     2.8506     4.2739     1.5467      4.537     7.4546     3.8908     3.6101     7.6077     4.7654     1.8992     4.8607     4.1074     6.3017     3.2945     3.3699     2.1705     4.5754      2.003
y-box           7.0355     5.3522     6.1632     7.1629     4.1452     7.5538     6.1018     9.2066     2.1743      9.019     5.8079     7.2878     1.1005     9.5712    12.2941     7.0172     7.7867    10.9046     8.6052     7.1786     9.5402     6.1611    10.0419     7.8942     5.9729     4.1981     8.6196     1.9138
width           5.1219     4.8283     3.0126     4.7594     4.0296     4.5342     4.1895     7.9102     3.1297     5.3524     3.4268     5.6903     2.1112      5.981     7.4619      4.408     4.7063     8.2262     5.6182     2.4391     5.9475     5.8137     7.3411      4.988     4.3125      3.845     6.0371     2.7044
high            5.3724     3.7628     4.9833     5.2368     3.4382     6.0548      5.414     7.8124     2.0628      7.181     4.8354     6.3499     1.3983     6.5123     7.4004     5.8103     6.1311     7.1754     6.1322     5.3277     7.3184     4.7463     7.1022     6.0683      5.024     2.9147       6.15     2.1934
onpix           3.5059     2.4248      1.205     2.4925     1.7043     2.6223     2.4807     8.8892     1.1534        4.1     1.5823     5.6596     0.9641     3.6812          5     2.1897     3.1941     5.1754      3.514     1.6134     4.8272     4.2869     4.4273     2.1647     2.9381     1.8501     3.8792     1.5842
x-bar           6.8976     4.9239     11.841     3.6115     8.2043     4.8023     7.1018     7.5439      6.007     7.3095     2.0274     7.5303     6.9605     9.7913     8.5287     7.2989     7.3164     5.5354     5.7467     6.8803     6.8223     7.2251     4.8584     7.2195     6.7513     7.8407     8.6275     6.8577
y-bar           7.5004     8.0673     3.1925    11.3797     3.2849     7.2094     7.1333     7.1786    10.9177     6.6524     2.2317     7.5997     7.3923     3.2144     6.3264     4.8333     7.2168     9.1354    10.8771     5.6239     7.0455     7.8046     8.5813    10.9759     7.3264     7.2653      6.738     7.1212
x2bar           4.6286     4.1947     6.5481     3.3008     2.3333      6.362       13.6     4.6747     2.7936     12.581      4.814      4.374     6.5706     2.7913     3.6934    13.2931     4.4423     3.4738     5.4358     1.9601     7.1917     4.0217     3.3929      2.174     6.8037     2.2136     2.5848     4.8547
y2bar           5.1787     6.8195     4.1548     5.4536     1.4624     8.8963     1.3368     3.9122     3.8675      1.381     6.5488     4.0855     3.0239     2.9507     5.6997     4.9828     9.8794     3.7877     3.6518     6.4643     5.7397      3.424     7.2943     4.2584     5.0878     6.2463      6.618     6.6283
xybar            8.282    10.1947    13.1632    11.2456     7.3548     7.4853     6.0912     6.9092     8.3305     6.2857     1.0061     7.1198     6.9904     8.8653    10.2784     6.8851     6.9143     7.9262    11.2458     7.4958     7.0476     7.3417    10.7057     6.6359     6.9665    11.2705    10.9053     6.8176
x2ybr            6.454     8.9575     4.3682      9.812      1.672     6.4442        6.2     6.1966    10.0809     7.8524     0.9756     6.3258     6.6567      2.167     4.4181    13.1897     5.9948     8.6354      6.067     4.1492     6.0049     7.1406     9.0443    11.6506      5.851     5.2722     4.4073     6.0461
xy2br            7.929     9.6726    11.3222     5.7419     8.1586    13.1937      7.986     8.0379       6.94     7.9714     5.9878     8.1395     7.8517     8.7495     7.4713     7.9713     7.9545       7.94      3.676     8.6639     8.0413     7.7497     8.5197      8.071     8.1547     7.2567     7.2084     8.7505
x-ege           3.0461     2.5381     0.4979     1.3271     2.0591      1.002      4.607     7.3034     1.8382     6.9476     0.2287     4.1476     2.8337     3.3112     4.4088          3     0.9633     6.9462     1.7598     0.1849     3.2904     6.7817     2.8116     1.6345     2.6995     1.5237     2.4601     1.6092
xegvy           8.3389     8.6814     6.5146     9.9073     6.3333     8.3933     7.7649     8.5399    10.1423     6.6286     7.3963     8.5968     8.0861     5.8653     7.6778     9.0172     8.1154    10.1108     9.8585     7.3866     7.9412     8.4811     8.9163    10.0254     7.9463     7.9208     7.8737     8.0872
y-ege           3.6917      2.469     0.1423     2.1216     1.9785     5.0372     0.0035     6.8283     1.2008      0.219     0.4543     7.3316     1.9342     3.2486     5.5923          0     7.8322     2.2923     3.6983     1.7017     4.7621     2.0011     3.5887     0.6171      4.601     2.5392     3.8713     4.9469
yegvx           7.8012        6.8     7.7992      5.619     7.5323     8.6438     7.9965     7.5689     7.2831     7.9714     6.9756     7.3258      8.122     8.4023     8.7935     7.9943     7.8776     6.8815     7.4637      7.771     8.4654      7.224     5.8571     7.9558     8.8093     7.8984     8.5991     8.6924

