x-box           4.0236     5.9932     2.1983     4.7008     2.8506     3.7438     3.6246     5.7204     2.1619     4.7143     3.8478     4.2292     1.4659     2.8491     6.1775       3.88     3.5835     7.6242     4.5958      1.842     4.8885      4.096     7.5513      3.235     3.3561     2.1699      4.534     3.2826     1.9674
y-box           7.0355     9.5863     6.3802     7.9309     5.8079     7.5239     6.1018     9.1743     2.3433      9.019     7.3149     7.2344     0.9817     6.1456    11.0507     6.9829     7.7523    12.4363      8.318     7.1385     9.5418     6.0855    10.8389      7.749     5.9316     4.2157     8.6107     4.7818     1.8257
width           5.1219      7.263     3.1157     5.1025     3.4268     4.5124     4.1895      7.922     3.1658     5.3524     4.3875     5.6644     2.0354     4.7263     6.8193     4.3943     4.6826      7.401      5.546      2.355     6.0769     5.7908     8.1927     4.9586     4.3687     3.8424     6.0504     4.5492     2.6595
high            5.3724     6.8603     5.1198     5.7914     4.8354     6.0191      5.414     7.7953     2.1101      7.181     6.0865     6.2783     1.2841     4.7175     6.8732     5.7829     6.1431     7.5195     5.9502      5.303     7.3783     4.6879     7.1943     5.9933     4.9455     2.9313     6.2086     3.4061     2.1488
onpix           3.5059     4.4233     1.2727     2.7855     1.5823     2.6176     2.4807     8.9108     1.1775        4.1     2.6886     5.6451     0.8683     2.4404     4.4136     2.1829     3.1688     4.9281      3.433     1.5563     5.0384     4.2474     5.1864     2.1148     3.0398     1.8583     3.8777     2.2218     1.5484
x-bar           6.8976     4.7507    11.8223     3.6103     2.0274     4.8585     7.1018     7.5451     5.7811     7.3095     4.6263     7.5342     6.9963     8.6912     9.9493     7.3029     7.3394      7.744      5.705     6.8658          7     7.2058     5.5624     7.3031     7.1006     7.8882     8.5092      5.127      6.896
y-bar           7.5004     8.2658      3.186    11.2241     2.2317     7.1989     7.1333     7.1733    11.0065     6.6524       8.91     7.6094     7.2402     3.3316     4.0681     4.8343     7.2018     7.2396    10.9234     5.6667     6.9337     7.7988     9.2512    10.9653     7.0559     7.2289     6.7738     7.9821     7.1131
x2bar           4.6286     3.7452     6.5041     3.2586      4.814     6.3709       13.6     4.6515     2.7772     12.581     7.9965     4.3497     6.3793     2.4193     3.3312      13.28     4.4385     3.6948     5.5019     1.9827     7.1002     4.0116     3.4502     2.1923     6.6411      2.213     2.4948     4.2862     4.8695
y2bar           5.1787     7.3205     4.1942     5.5256     6.5488     8.8681     1.3368     3.8997     4.0117      1.381     3.0173     4.0707      2.778     1.8737     4.5436     4.9771     9.9523     5.7743     3.6398     6.4437     5.8327     3.4012     3.7251      4.251     5.5084     6.2491     6.7282     6.7585     6.5872
xybar            8.282    10.5384    13.1942    11.1788     1.0061     7.4379     6.0912     6.8946     8.7137     6.2857     6.8616      7.093     7.0366     7.6018      10.13       6.88     6.8697    10.2787    11.2471     7.4935     7.0136     7.3769     7.8373     6.5794     6.9588    11.2729    10.8737     9.9392     6.7462
x2ybr            6.454     9.1397     4.3388     9.9476     0.9756     6.3939        6.2     6.2077      9.943     7.8524     4.6782     6.3214     6.4354     1.6789     2.9905    13.1886     5.9963     5.2295     6.0536     4.1991     6.0625     7.1214     8.6904    11.6756     6.0042     5.2298     4.4428     8.7352     6.0204
xy2br            7.929     9.2781    11.2975     5.8999     5.9878    13.1128      7.986     8.0537     6.6852     7.9714     9.6955      8.157     7.8793     8.2035     8.5848     7.9714     7.9083     7.0794     3.6245     8.6667     7.9586     7.7491     7.9005     8.0854     7.7758     7.2553      7.247     9.6887     8.6922
x-ege           3.0461     2.9904     0.5289     1.4744     0.2287     1.0096      4.607     7.3708     1.7293     6.9476     2.9965     4.1674     2.7634     2.3298     4.2805          3     0.9119     4.1602     1.6533     0.1494     3.3353     6.7688     6.9526     1.6208     2.6885     1.5185     2.3541     2.4669     1.6096
xegvy           8.3389     8.7164        6.5     9.9511     7.3963     8.3767     7.7649     8.5562    10.1218     6.6286     7.5433     8.6198     8.0146     6.2404     6.3487     9.0229     8.1083     8.1765     9.8659     7.4156     7.9171      8.452    10.2322    10.0214     8.0007     7.9093     7.8609     8.7209     8.0652
y-ege           3.6917     3.5041     0.1818     2.1955     0.4543     5.0535     0.0035     6.7964      1.285      0.219     4.1488     7.2924     1.8146     2.3912     4.5055          0     7.9009     5.7692     3.5958     1.6602     4.9194     1.9769     2.2449     0.5981     4.6243     2.5511     3.8018     2.5188     4.9358
yegvx           7.8012     6.0849      7.814     5.5662     6.9756     8.6788     7.9965     7.5613     7.1153     7.9714    10.7751     7.3594     8.1305     7.5947     9.6101     7.9943      7.855     7.9105     7.5019     7.7641     8.3361     7.2254      6.872      7.964     8.4295     7.9173     8.4932     7.0662     8.6616
