x-box           4.0236     6.1384     2.1416      4.989     2.8683     3.7435     3.6146     5.7065      2.513      4.719     3.8379     4.1823     1.4293      2.824     6.0491       3.88     3.5939     6.9509     5.2068     2.1796     5.2977     4.1509     7.7171     3.2946     3.9251      1.981     3.9603     3.3829     2.0043     2.8073
y-box           7.0355     9.8671     6.3133     8.3402     5.8533      7.452     6.0208     9.1013     3.6824     9.0571     7.2793     7.1412     0.8843     6.0801    11.3804     6.9829     7.7644    11.3536     9.2407     2.3574     9.8204     6.2362    10.9834     8.0552     7.6973     4.1079     8.2438     4.9563     1.7294     5.6309
width           5.1219     7.3233     3.0644      5.299     3.4581     4.5037     4.1875     7.8908     3.5179     5.3524     4.3828     5.6137     1.9717     4.6986     6.1636     4.3943     4.6762     7.7574     5.8831     3.4204     6.4337     5.8836     8.3494      5.045      4.939     3.5295     5.4413     4.6786     2.6981     3.6206
high            5.3724     6.9562     5.1116     6.0892     4.8593     5.9483     5.3576     7.8305     2.7834     7.2095     6.0448     6.1777     1.2005     4.6777     6.6503     5.7829     6.1513     7.3075     6.4881     2.3259     7.5013     4.7627     7.2313     6.1524     6.3219     2.8577     6.0446      3.496     2.1396     4.5251
onpix           3.5059     4.4438     1.2446     2.9108     1.6048      2.607     2.4583     9.0694     1.6124     4.1095     2.6931     5.5679     0.8021     2.4268      3.683     2.1829     3.1494     5.3566     3.7203     1.1963     5.5928     4.2995     5.2812     2.1901     3.5401     1.7126     3.4603     2.2679     1.5725     2.5132
x-bar           6.8976     4.9301    11.9099     3.3484     2.0808     4.8819     7.1111     7.5859     5.0749        7.3     4.6414     7.5516     6.9833     8.5679     10.047     7.3029     7.3333     8.6002     6.1288       6.65     6.9632     7.2408      5.594     7.3237     6.9027     7.8123     8.1479     4.9107     6.8896     7.1739
y-bar           7.5004     8.2178     3.1545    11.2401     2.2665     7.2196     7.1354     7.2878    10.8094     6.6476     8.9034     7.6121     7.1735     3.3641     3.4397     4.8343     7.1858     6.7878    10.4068    11.0611     6.8109     7.7673     9.1564    10.9507     7.0813     6.7208     6.5248     8.1508     7.1126     7.1168
x2bar           4.6286      3.637     6.6009     3.3237     4.7784     6.3598    13.5521     4.6348     3.6319    12.6095          8     4.3251     6.3676     2.4199     3.5583      13.28     4.3755     3.2976     4.8525     2.3926      6.284     3.9931     3.4526     2.1974     8.1594      1.981     2.0777     4.1766     5.0119     5.5371
y2bar           5.1787     7.4466     4.1416     5.3347     6.5898     8.7675     1.3333     3.7167     4.7248      1.381     3.0207     4.1024     2.8008     2.0192     3.9755     4.9771    10.0441     6.0383     4.0746     3.4963     5.2891     3.4539     3.7854     4.2758     6.6385     6.5639      7.038      6.873      6.737     4.6334
xybar            8.282       10.6    13.1931     11.096     1.0749     7.5498     6.0972     6.8817    11.0668     6.2905     6.8897     7.1086     6.9859     7.5348    10.4172       6.88     6.8487    10.1287    11.4051     7.2259     7.1583     7.4551     7.9235     6.5544     6.6578    10.6609    10.5132     10.127     6.7219     7.2421
x2ybr            6.454     8.9192     4.3476    10.2277      0.985     6.4723     6.2431     6.2366     7.8306     7.8333     4.6759     6.2638     6.4062     1.6934     3.0818    13.1886     6.0019     4.3114      6.122       10.8     6.2669     7.0599     8.6057    11.6763     5.8545     4.9846     4.4835     8.9742     6.0043     6.1586
xy2br            7.929     9.1781    11.3176     6.2044      6.012    13.0941     7.9861     8.0023        4.5     7.9714     9.6759     8.0605     7.8972      8.169     9.1902     7.9714     7.9502     6.8576      4.039     7.9389     8.5261     7.6993     7.9384     8.0943     7.1262     7.8513     7.7322     9.5635     8.6742     8.1952
x-ege           3.0461     2.9548     0.5021     1.5953     0.2485     1.0295     4.6667     7.4994     1.0668        6.9     2.9931     4.1458     2.7763     2.2944     3.7587          3     0.8851      4.387     2.0847     2.2667      3.852     6.7949     7.0948     1.6401     2.6481     1.2829     1.7479     2.5397     1.6126     2.3862
xegvy           8.3389     8.6767      6.515     9.9232     7.3772     8.4077     7.7326     8.7122      9.759     6.6476     7.5172     8.6129     7.9692     6.2387     6.3722     9.0229      8.113     7.7583     9.7712    10.4037      7.923     8.4424    10.1498    10.0015     7.9348     7.6972     7.6661     8.7242     8.0595       8.11
y-ege           3.6917     3.6904     0.1373     2.0631      0.491     4.9852     0.0035     7.1195     2.3827      0.219     4.1586     7.3553     1.7416     2.3798     4.4785          0     7.9291     5.1473     3.9153     0.5944     4.9461     1.9977     2.3361      0.611     5.2588     2.5277     3.4438     2.3571     5.0974     3.6249
yegvx           7.8012     6.0603     7.8026     5.7064     6.9521       8.69     7.9965     7.4494     6.4332     7.9714    10.7793     7.4034      8.135     7.5662      9.593     7.9943     7.8467     8.5029     7.3508     7.7759     8.1446     7.2028     6.8436     7.9695     8.6963     7.9229     8.3074     6.7103     8.6991     8.2498
