x-box           4.0236     3.6365     2.1441     4.9818     3.8728     3.8742     3.6181     5.8325     1.3527     4.7143     2.6644     5.4925     2.1033     3.1906     4.9129       3.88     3.6068     7.7418     5.0423     2.5017      4.897     7.4649       6.25     3.2958     3.5183      2.051     3.3125     2.0354     2.1193     3.9808     2.8597
y-box           7.0355     5.4894     6.3144     8.3534      5.506     7.8543     6.0486     9.0653     0.7663      9.019     6.0481      9.147     2.2924     6.9619     8.6568     6.9829      7.763    12.8917     9.0176     3.6047     9.6157    10.8722    10.0201     8.0483     6.3904     4.0564     8.8393     2.4502       1.93     6.7336     5.8448
width           5.1219     4.9326     3.0393     5.2933     5.5391     4.6269     4.1875     8.2716     1.8839     5.3524     3.1829     7.2886     3.3353     4.9897     6.4347     4.3943      4.711     7.2343     5.8134     3.4983       5.97     8.0591      7.441     5.0395     4.4942     3.6533     4.5375     2.8264      2.844     5.4122     3.4537
high            5.3724     3.8741     5.0961     6.1173      4.253     6.2826     5.3785     7.1975     1.0694      7.181     5.0206     8.0923     2.2885     5.1305     6.1516     5.7829     6.1185     7.3615     6.3468     2.7365     7.3282      7.099     7.0013      6.142     5.3885     2.8171     6.5321     2.3215     2.2683     5.7635     4.8478
onpix           3.5059     2.5142     1.2358     2.9106     3.6781     2.6954     2.4653     8.7125     0.6983        4.1     1.9807     7.9313     1.1092     2.6716     4.4164     2.1829     3.1562      4.631     3.6426     1.5845     4.8255     5.0144     4.5465     2.1713     3.1817     1.8089     2.7393     1.4148     1.7523     5.2939      1.603
x-bar           6.8976     4.9557    12.0087     3.3017     7.0079     4.6203     7.1042     7.6279     6.9873     7.3095     6.6768     7.4431     6.7135     9.0674     9.1402     7.3029     7.3285     8.5466     5.9947     5.0726     6.8401     5.7572      5.304      7.328     6.7712     7.8735     7.3929     5.7267     7.2144     7.5071     2.0925
y-bar           7.5004     8.0674     3.0742    11.2598     7.9642     7.2318     7.1319      6.806      7.119     6.6524     7.1609     7.4635    11.0897     3.1804     6.5331     4.8343     7.2118     5.7607    10.5968    10.7804     7.0415     9.2668     8.1759    10.9517      7.425     6.7461     6.0411      7.299     7.1009     7.5087     2.2716
x2bar           4.6286     4.1436     6.6463     3.3966     3.9417     6.3113    13.5729     4.2998     6.3569     12.581     5.7001     4.7747     2.3762     2.5543     3.0497      13.28     4.2801     3.8174     5.0299     3.5118      7.083     3.5224     3.2714     2.1845     7.5913     2.0965     1.1393     5.6077     4.9794     4.3297     4.7731
y2bar           5.1787     6.9113      4.083     5.3073     3.4636      9.053     1.3333     3.9153     2.5184      1.381     3.6355     4.2028      3.575     2.0792     6.1429     4.9771     9.9497     5.3186     3.9542     4.8311     5.6095     3.6534     7.5603     4.2826     6.1125     6.5723     7.3554     7.0129      6.375     3.9725      6.591
xybar            8.282    10.1738    13.1572    11.1006     7.6199     7.4812     6.1007     7.2945      6.983     6.2857     7.2916     6.9914      7.193     7.9633    10.2787       6.88     7.0126    10.2872    11.4261    11.0878      7.083     7.7364    10.6332     6.5666     6.6587    10.6142    10.7071     7.7331     6.5975     7.0525     1.0925
x2ybr            6.454     8.8936     4.3013    10.3003     7.2795     6.4636     6.2292     6.2275     6.3173     7.8524     6.2476     6.3219    10.8908      1.761     3.8789    13.1886     6.0269      4.403     6.0704      7.924     6.0592     8.5383     8.4334    11.6969     5.6356     4.9918     4.4661     6.6881     5.9174     6.2631     0.9881
xy2br            7.929     9.5762    11.3275     6.2696     7.6689    13.3267     7.9861     7.9718     7.9717     7.9714     8.9642     8.0912     7.9513     8.3871      6.824     7.9714     7.9425      7.995     3.9067      4.527     8.1453     7.8403     8.7312     8.0747     7.5923     7.7771     8.6357    11.8682       7.57     8.1873     6.0179
x-ege           3.0461     2.4982     0.5066     1.5978     6.5695     0.9581     4.6319     8.9436     2.7195     6.9476     2.1981      5.235     2.0546     2.5132     3.2535          3     0.9084     4.4433     1.9489     1.0338     3.3436     6.8962      2.907     1.6237     2.5808     1.3858     0.4714     1.3087     1.8922      4.259     0.2507
xegvy           8.3389      8.695     6.4978     9.9302     8.4278      8.362     7.7465     7.7284     7.9688     6.6286     8.1967     8.7071    10.3782     6.1158     7.7901     9.0229     8.1418     7.4194     9.7958     9.7568     7.9539    10.3962      8.647    10.0044      7.824     7.7179      7.225     8.5466     7.9725      8.592     7.3731
y-ege           3.6917      2.594     0.1485     2.0265     1.6185     5.0883     0.0035     4.6067     1.6572      0.219     2.8473     8.1974     0.5945     2.5469      4.426          0     7.7792     5.6599      3.838     2.3547     4.5842      2.147      3.951     0.5959     5.2606     2.7188      2.025      4.209     4.8945      6.746     0.4925
yegvx           7.8012     6.7624     7.8472     5.7472     7.2199     8.4812     7.9965     7.1481     8.1884     7.9714     8.6011     7.8251     7.8031     7.7654     9.1341     7.9943      7.842     8.8249      7.368     6.3716     8.3536     6.8626     6.1118     7.9663     8.9558       8.01     7.4857     9.4437     8.3131      7.358     6.9552
