@relation bike_sharing_database

@attribute temperature real
@attribute humidity real
@attribute windspeed real
@attribute casual_users integer
@attribute registered_users integer
@attribute weathersit {clear, cloudy, rainy/snowy}

@data
9.84,81.00,0,3,13,clear
9.02,80.0,0,8,32,clear
9.02,80.0,0,5,27,clear
9.84,75.00,0,3,10,clear
9.84,75.00,0,0,1,clear
9.84,75.00,6.0032,0,1,cloudy
9.02,80.0,0,2,0,clear
8.2,86.00,0,1,2,clear
9.84,75.00,0,1,7,clear
13.12,76.00,0,8,6,clear
15.58,76.00,16.9979,12,24,clear
14.76,81.00,19.0012,26,30,clear
17.22,77.00,19.0012,29,55,clear
18.86,72.00,19.9995,47,47,cloudy
18.86,72.00,19.0012,35,71,cloudy
18.04,77.00,19.9995,40,70,cloudy
17.22,82.00,19.9995,41,52,cloudy
18.04,82.00,19.0012,15,52,cloudy
17.22,88.00,16.9979,9,26,rainy/snowy
17.22,88.00,16.9979,6,31,rainy/snowy
16.4,87.00,16.9979,11,25,cloudy
16.4,87.00,12.998,3,31,cloudy
16.4,94.00,15.0013,11,17,cloudy
18.86,88.00,19.9995,15,24,cloudy
18.86,88.00,19.9995,4,13,cloudy
18.04,94.00,16.9979,1,16,cloudy
17.22,100,19.0012,1,8,cloudy
18.86,94.00,12.998,2,4,cloudy
18.86,94.00,12.998,2,1,cloudy
17.22,77.00,19.9995,0,2,rainy/snowy
16.4,76.00,12.998,0,1,cloudy
16.4,71.00,15.0013,0,8,rainy/snowy
15.58,76.00,15.0013,1,19,cloudy
14.76,81.00,15.0013,7,46,cloudy
14.76,71.00,16.9979,16,54,cloudy
14.76,66.00,19.9995,20,73,cloudy
14.76,66.00,8.9981,11,64,cloudy
14.76,76.00,12.998,4,55,rainy/snowy
13.94,81.00,11.0014,19,55,rainy/snowy
13.94,71.00,11.0014,9,67,rainy/snowy
13.94,57.00,12.998,7,58,clear
14.76,46.00,22.0028,10,43,cloudy
13.12,42.00,30.0026,1,29,clear
12.3,39.00,23.9994,5,17,clear
10.66,44.00,22.0028,11,20,clear
9.84,44.00,19.9995,0,9,clear
9.02,47.00,11.0014,0,8,clear
9.02,44.00,23.9994,0,5,clear
8.2,44.00,27.9993,0,2,clear
6.56,47.00,26.0027,0,1,clear
6.56,47.00,19.0012,0,3,clear
5.74,50.0,26.0027,0,30,clear
5.74,50.0,12.998,1,63,clear
5.74,50.0,19.0012,1,153,clear
6.56,43.00,26.0027,7,81,clear
7.38,43.00,16.9979,11,33,clear
8.2,40.0,22.0028,10,41,clear
9.02,35.00,19.9995,13,48,clear
9.84,35.00,19.0012,8,53,clear
10.66,30.0,19.0012,11,66,clear
10.66,30.0,16.9979,14,58,clear
10.66,30.0,16.9979,9,67,clear
9.84,30.0,15.0013,11,146,clear
9.84,32.00,7.0015,9,148,clear
8.2,47.00,0,8,102,clear
8.2,47.00,7.0015,3,49,clear
7.38,64.00,8.9981,3,49,clear
5.74,69.00,8.9981,0,20,clear
7.38,55.00,7.0015,1,11,clear
6.56,55.00,7.0015,0,5,clear
6.56,59.00,7.0015,0,2,clear
5.74,63.00,8.9981,0,1,clear
5.74,63.00,6.0032,0,2,clear
4.92,68.00,7.0015,0,4,clear
4.92,74.00,7.0015,0,36,clear
4.92,74.00,8.9981,2,92,clear
5.74,69.00,11.0014,2,177,clear
6.56,64.00,15.0013,2,98,clear
6.56,69.00,22.0028,5,37,cloudy
9.02,51.00,19.9995,7,50,clear
9.02,51.00,11.0014,12,66,clear
9.84,56.00,12.998,18,79,clear
10.66,52.00,15.0013,9,54,clear
11.48,52.00,16.9979,17,48,clear
12.3,49.00,16.9979,15,68,clear
11.48,48.00,15.0013,10,202,clear
10.66,48.00,12.998,3,179,clear
9.84,48.00,7.0015,2,110,clear
9.84,48.00,7.0015,1,53,clear
9.02,64.00,0,0,48,clear
9.02,64.00,6.0032,1,34,clear
8.2,69.00,6.0032,2,9,clear
8.2,64.00,0,0,6,clear
6.56,74.00,6.0032,0,6,clear
6.56,74.00,6.0032,0,2,clear
9.84,48.00,15.0013,0,2,clear
9.02,47.00,11.0014,0,3,clear
8.2,47.00,15.0013,0,33,clear
7.38,43.00,12.998,1,87,clear
8.2,40.0,19.9995,3,192,clear
9.02,37.00,22.0028,6,109,clear
9.02,37.00,22.0028,4,53,clear
10.66,33.00,22.0028,12,34,clear
10.66,33.00,22.0028,5,74,clear
11.48,30.0,19.9995,6,65,clear
12.3,28.00,12.998,10,52,clear
12.3,28.00,12.998,7,55,clear
12.3,28.00,6.0032,4,85,clear
9.84,38.00,12.998,4,186,clear
9.84,38.00,8.9981,3,166,clear
9.84,38.00,7.0015,5,127,clear
9.02,47.00,11.0014,7,82,clear
8.2,51.00,12.998,3,40,clear
7.38,55.00,8.9981,1,41,clear
8.2,47.00,0,1,18,clear
7.38,55.00,0,0,11,clear
6.56,64.00,0,0,4,clear
6.56,64.00,0,0,2,clear
6.56,64.00,6.0032,0,1,cloudy
5.74,69.00,6.0032,0,4,cloudy
5.74,63.00,7.0015,0,36,cloudy
6.56,59.00,0,0,95,cloudy
6.56,59.00,0,3,216,clear
7.38,51.00,0,6,116,cloudy
8.2,47.00,0,3,42,clear
9.02,44.00,6.0032,2,57,clear
10.66,35.00,0,6,78,clear
10.66,35.00,7.0015,12,55,clear
11.48,36.00,11.0014,11,59,clear
11.48,36.00,0,8,54,clear
